"score","id","model"
0.322748633023786,2306,"model_arima"
0.322748633023786,2306,"model_HoltWinters"
0.399570738343807,2307,"model_gbm_weekday"
0.297412017207878,2309,"model_bagging"
0.297412017207878,2309,"model_arima"
0.297412017207878,2309,"model_HoltWinters"
0.643674311547418,2310,"model_bagging"
0.643674311547418,2310,"model_gbm_weekday"
0.643674311547418,2310,"model_rpart"
0.643674311547418,2310,"model_gbm"
0.490306435457615,2311,"model_bagging"
0.490306435457615,2311,"model_gbm_weekday"
0.490306435457615,2311,"model_rpart"
0.490306435457615,2311,"model_lm"
0.490306435457615,2311,"model_randomForest"
0.490306435457615,2311,"model_gbm"
0.435700942846165,2314,"model_randomForest"
0.521972173368644,2316,"model_bagging"
0.521972173368644,2316,"model_arima"
0.521972173368644,2316,"model_rpart"
0.521972173368644,2316,"model_lm"
0.521972173368644,2316,"model_HoltWinters"
0.361749720322105,3002,"model_bagging"
0.361749720322105,3002,"model_HoltWinters"
0.295323631240423,3006,"model_gbm"
0.327259758654193,3007,"model_bagging"
0.327259758654193,3007,"model_HoltWinters"
0.435700942846165,3008,"model_bagging"
0.435700942846165,3008,"model_gbm_weekday"
0.435700942846165,3008,"model_rpart"
0.435700942846165,3008,"model_randomForest"
0.435700942846165,3008,"model_gbm"
0.50833564943505,3010,"model_bagging"
0.50833564943505,3010,"model_rpart"
0.50833564943505,3010,"model_lm"
0.50833564943505,3010,"model_HoltWinters"
0.50833564943505,3010,"model_gbm"
0.542763365066534,3011,"model_arima"
0.542763365066534,3011,"model_rpart"
0.542763365066534,3011,"model_HoltWinters"
0.306638135255894,3013,"model_randomForest"
0.183961374244422,3016,"model_HoltWinters"
0.190536460461426,3018,"model_bagging"
0.67787833905599,3110,"model_bagging"
0.67787833905599,3110,"model_rpart"
0.469747813393574,3114,"model_lm"
0.5,3116,"model_bagging"
0.5,3116,"model_rpart"
0.5,3116,"model_HoltWinters"
0.476223729609945,3117,"model_bagging"
0.476223729609945,3117,"model_arima"
0.476223729609945,3117,"model_rpart"
0.476223729609945,3117,"model_HoltWinters"
0.545614601384087,3118,"model_xgboost"
0.574537102393,3119,"model_bagging"
0.574537102393,3119,"model_gbm_weekday"
0.574537102393,3119,"model_rpart"
0.510508841838521,3319,"model_xgboost"
0.519595267570438,3321,"model_gbm_weekday"
0.198486549413201,10,"model_rpart"
0.229226006596548,11,"model_lm"
0.0264642152161211,12,"model_lm"
0.224595857750943,13,"model_randomForest"
0.0667976290677572,15,"model_arima"
0.059085165101226,20,"model_HoltWinters"
0.259662982696549,21,"model_xgboost"
0.042031851392287,22,"model_lm"
0.121079561934644,23,"model_bagging"
0.082397755455148,30,"model_bagging"
0.082397755455148,30,"model_arima"
0.291292755993659,31,"model_gbm"
0.581929503245327,32,"model_lm"
0.334233629620127,33,"model_lm"
0.327680855691885,34,"model_gbm"
